DOI	volume	received	accepted	online	title	authors
10.1007/s12517-021-07742-8	14	26-Apr-21	26-Jun-21	27-Aug-21	Learning-based approach to underwater image dehazing using CycleGAN	"Maniyath, Shima Ramesh; Vijayakumar, K; Singh, Laxman; Sharma, Sudhir Kumar; Olabiyisi, Tunde"
10.1007/s12517-021-08037-8	14	03-Jun-21	15-Jul-21	27-Aug-21	Oil spill risk assessment of submarine oil pipeline based on fuzzy comprehensive evaluation and accounting	"Liu, Lingyun"
10.1007/s12517-021-08137-5	14	29-Aug-19	26-Jul-21	27-Aug-21	"The provenance of the Post-Eo-Cimmerian Shemshak Group of the Central Alborz, south of the Caspian Sea"	"Naeeji, Mohammad Reza; Maghfori-Moghaddam, Iraj; Hosseini-Barzi, Mahboubeh; Soleimany, Bahman"
10.1007/s12517-021-08292-9	14	14-Jun-21	18-Aug-21	02-Sep-21	Bibliometric analysis of a research field “paleopedology”	"Rykova, Valentina; Busygina, Tatiana"
10.1007/s12517-021-08191-z	14	02-Mar-21	21-Jul-21	02-Sep-21	"Geochemical characteristics and its geological application of over-mature Longmaxi shale gas in the northern Guizhou area, China"	"Zhong, Yi; Xia, Peng; Ning, Shitan; Fu, Yong; Li, Qingguang; Yu, Yin"
10.1007/s12517-021-08120-0	14	17-Mar-21	22-Jul-21	12-Aug-21	Surrounding rock effect on coal burst under unloading condition: a numerical study	"Yang, Yuezong; Zhang, Zhennan"
10.1007/s12517-021-08215-8	14	15-Jun-21	04-Aug-21	11-Aug-21	"Characteristics of debrites, turbidites, and contourites in the Upper Ordovician Pingliang Formation along southwestern margin of the Ordos Basin, western China"	"Li, Hua; Zhao, Hongyan; Xu, Yanxia; He, Youbin"
10.1007/s12517-021-08002-5	14	05-Jun-21	15-Jul-21	13-Aug-21	Mechanical properties of basin loess based on image recognition and aerobic exercise data monitoring of athletes	"Sun, Chenguang; Chen, Qin"
10.1007/s12517-021-08074-3	14	11-Jun-21	19-Jul-21	14-Aug-21	Environmental PM2.5 concentration and optimization of college students’ mental health index based on variance parameter model	"Wang, Yuhang; Luo, Qianying"
10.1007/s12517-021-07659-2	14	03-Dec-20	16-Jun-21	05-Aug-21	The spatiotemporal evolution of urbanization of the countries along the Belt and Road Initiative using the compounded night light index	"Tang, Panli; Huang, Jiejun; Zhou, Han; Wang, Huan; Huang, Wei; Huang, Xiaochi; Yuan, Yanbin"
10.1007/s12517-021-08130-y	14	11-Feb-21	26-Jul-21	06-Aug-21	"Identifying dispersive soils by modification of chemical criterion, validated based on data from Northwest and Central Iran"	"Khodaparast, Mahdi; Rajabi, Ali M.; Moein, Behzad; Bazargan, Jalal"
10.1007/s12517-021-08146-4	14	13-Apr-21	28-Jul-21	11-Aug-21	Candidate wells selection and ranking based on data mining and multi-criteria decision analysis techniques	"Galicia, Héctor De Paz; Reyes, Eduardo Roldán; Sheremetov, Leonid"
10.1007/s12517-021-07636-9	14	29-May-20	15-Jun-21	07-Aug-21	An effective MIP model based on grey wolf optimizer for lot-sizing LTPSOP in open-pit mines under uncertainty	"Tolouei, Kamyar; Moosavi, Ehsan; Gholinejad, Mehran"
10.1007/s12517-021-08189-7	14	22-May-20	15-Jul-21	16-Aug-21	A new parametric segmentation method based on sandy mudstone SEM images	"Zhou, Meiling; Li, Jianlin; Xu, Weijie; Xu, Feng; Assefa, Eleyas; Deng, Huafeng"
10.1007/s12517-021-08127-7	14	17-Jun-21	23-Jul-21	24-Aug-21	Landscape design of rainwater reuse based on ecological natural environment: Hangzhou as an example	"Wang, Rui"
10.1007/s12517-021-08162-4	14	14-May-21	01-Aug-21	17-Aug-21	Urban land ecological evaluation and English distance teaching evaluation based on wireless sensors	"Li, Wei"
10.1007/s12517-021-08229-2	14	15-Feb-21	06-Aug-21	18-Aug-21	"Numerical study of the natural fracture using dual porosity-dual permeability model for Rumaila Field, southern Iraq"	"Majeed, Amani J.; Al-Mukhtar, Ahmed; Abood, Falah A.; Alshara, Ahmed K."
10.1007/s12517-021-08200-1	14	11-Mar-21	02-Aug-21	17-Aug-21	A failure case study of tunnel water inrush source identified by statistical analysis model	"Yuan, Li-Gang; Li, Xiao-Li; Li, Xin; Yu, Yi-Lin; Chen, Li-Gang; Xu, Xian-Pan; Wang, Xiang"
10.1007/s12517-021-08149-1	14	26-Jan-21	28-Jul-21	17-Aug-21	The Lake Fonjak paleoproductivity controlled by the paleoclimate variations in the Adamawa plateau (Central Cameroon) during the Holocene: implications for sedimentary rate and the organic matter enrichment in Fe-shales	"N’nanga, Alexandrine; Ngueutchoua, Gabriel; Ekomane, Emile; Tematio, Paul"
10.1007/s12517-021-08199-5	14	09-Mar-21	02-Aug-21	19-Aug-21	"Calculation of cementation factor and saturation exponent by resistivity: a case study of silty clay formation, Changchun, China"	"Du, Lizhi; Han, Yalu; Wang, Yong; Hu, Xinmin; Yao, Ren; Zhang, Xiaopei"
10.1007/s12517-021-08174-0	14	02-Jun-21	01-Aug-21	17-Aug-21	Bioinformatics analysis of mountain plant characteristics and ginsenoside glycosyltransferase based on image recognition	"Lang, Chenyong; Sui, Xin"
